age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Product_Search_Method,Customer_Reviews_Importance,Review_Left,Personalized_Recommendation_Frequency ,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,,,,
23,Female,Few times a month,Beauty and Personal Care,,Keyword,1,Yes,2,1,1,Competitive prices,Reducing packaging waste,,,,
23,Female,Once a month,Clothing and Fashion,,Keyword,1,No,2,3,2,Wide product selection,Reducing packaging waste,,,,
24,Prefer not to say,Few times a month,Groceries and Gourmet Food,Clothing and Fashion,No,Keyword,2,No,4,3,3,Competitive prices,Product quality and accuracy,,,
24,,Once a month,Beauty and Personal Care,Clothing and Fashion,others,Sometimes,Keyword,5,Yes,3,3,4,Competitive prices,Product quality and accuracy,,
22,,,Beauty and Personal Care,Clothing and Fashion,Yes,Filter,1,No,4,2,2,Competitive prices,Product quality and accuracy,,,
21,,,Clothing and Fashion,No,categories,1,No,5,5,2,Wide product selection,Product quality and accuracy,,,,
22,Female,Less than once a month,Clothing and Fashion,No,Filter,1,No,3,3,3,Wide product selection,Shipping speed and reliability,,,,
21,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,No,Keyword,1,No,3,1,3,Competitive prices,Shipping speed and reliability,,,
20,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,Sometimes,Keyword,1,No,2,2,2,Wide product selection,Reducing packaging waste,,,
23,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,No,Keyword,1,No,3,3,4,Wide product selection,Product quality and accuracy,,,
22,Female,Less than once a month,Clothing and Fashion,No,categories,1,No,3,3,2,Competitive prices,Shipping speed and reliability,,,,
25,Female,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,Keyword,1,Yes,3,3,1,Wide product selection,Product quality and accuracy,,
23,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,No,Keyword,1,No,2,3,2,Competitive prices,Product quality and accuracy,,,
24,Female,Once a month,Clothing and Fashion,Home and Kitchen,No,Keyword,1,Yes,2,2,2,Wide product selection,Product quality and accuracy,,,
